i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
238,11.0,0.148364,0.548212,0.524328,1.676315,0.488258,AUT,18936760.746266,0.003420,0.002904,0.002903,0.070207,0.001247,neutron,pi+,solid
239,11.0,0.183267,0.457480,0.524214,1.720059,0.489457,AUT,18871528.578985,0.004837,0.003915,0.003918,0.070207,0.001316,neutron,pi+,solid
240,11.0,0.243100,0.361570,0.523577,1.806067,0.484004,AUT,7182304.074312,0.004891,0.006733,0.006730,0.070207,0.001434,neutron,pi+,solid
241,11.0,0.070374,0.768889,0.523920,1.112415,0.694819,AUT,19376210.754607,0.002129,0.002112,0.002107,0.070207,0.001103,neutron,pi+,solid
242,11.0,0.086193,0.699066,0.524344,1.242960,0.688906,AUT,18756966.294049,0.002370,0.002270,0.002270,0.070207,0.001130,neutron,pi+,solid
243,11.0,0.101779,0.669165,0.524453,1.404953,0.687153,AUT,18864985.816538,0.002592,0.002405,0.002405,0.070207,0.001157,neutron,pi+,solid
244,11.0,0.122147,0.629166,0.524564,1.583902,0.685928,AUT,19261418.651328,0.002900,0.002596,0.002594,0.070207,0.001195,neutron,pi+,solid
245,11.0,0.162125,0.507943,0.524446,1.679268,0.687430,AUT,19238459.825772,0.002969,0.002895,0.002893,0.070207,0.001273,neutron,pi+,solid
246,11.0,0.224772,0.391535,0.522940,1.813114,0.670500,AUT,2620575.909334,0.007335,0.010997,0.011000,0.070207,0.001399,neutron,pi+,solid
247,11.0,0.076630,0.750712,0.524815,1.178597,0.882748,AUT,18738719.548382,0.002197,0.002172,0.002173,0.070207,0.001113,neutron,pi+,solid
248,11.0,0.118286,0.627698,0.524886,1.516310,0.881672,AUT,19193408.511464,0.002273,0.002278,0.002282,0.070207,0.001188,neutron,pi+,solid
249,11.0,0.175733,0.480618,0.523963,1.735721,0.871929,AUT,4163246.371831,0.006669,0.006461,0.006452,0.070207,0.001301,neutron,pi+,solid
250,11.0,0.098426,0.700681,0.526700,1.380792,1.085467,AUT,9896822.030065,0.003173,0.003105,0.003108,0.070207,0.001151,neutron,pi+,solid
251,11.0,0.137674,0.521265,0.573556,1.471782,0.138253,AUT,19128331.601266,0.002346,0.002340,0.002342,0.070207,0.001230,neutron,pi+,solid
252,11.0,0.188423,0.439745,0.573755,1.703112,0.126384,AUT,18822033.485122,0.002586,0.002571,0.002575,0.070207,0.001336,neutron,pi+,solid
253,11.0,0.242905,0.362604,0.573657,1.808903,0.129945,AUT,7516725.876054,0.004402,0.004403,0.004392,0.070207,0.001446,neutron,pi+,solid
254,11.0,0.092204,0.629841,0.573120,1.195116,0.326336,AUT,18697623.484010,0.002407,0.002309,0.002308,0.070207,0.001144,neutron,pi+,solid
255,11.0,0.115403,0.590860,0.573433,1.406533,0.314939,AUT,19231300.226880,0.002266,0.002261,0.002262,0.070207,0.001187,neutron,pi+,solid
256,11.0,0.133866,0.559827,0.573631,1.545824,0.308210,AUT,18921357.836214,0.002350,0.002340,0.002345,0.070207,0.001224,neutron,pi+,solid
257,11.0,0.153170,0.518645,0.573831,1.638111,0.301240,AUT,19018805.606314,0.002559,0.002492,0.002486,0.070207,0.001263,neutron,pi+,solid
258,11.0,0.180761,0.461886,0.574103,1.718685,0.294113,AUT,19108801.345827,0.003344,0.002936,0.002936,0.070207,0.001321,neutron,pi+,solid
259,11.0,0.236271,0.370615,0.573828,1.792354,0.290076,AUT,15895684.745706,0.003131,0.003126,0.003138,0.070207,0.001432,neutron,pi+,solid
