i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
532,11.0,0.255146,0.636532,0.323434,3.348798,0.494586,AUT,745692.968422,0.021445,0.019434,0.019305,0.070207,0.001421,neutron,pi+,solid
533,11.0,0.288592,0.594004,0.323430,3.534678,0.496287,AUT,754118.076311,0.018323,0.019041,0.018937,0.070207,0.001480,neutron,pi+,solid
534,11.0,0.325373,0.505040,0.322676,3.386454,0.503295,AUT,577762.506186,0.016932,0.028461,0.028386,0.070207,0.001542,neutron,pi+,solid
535,11.0,0.372441,0.446718,0.322761,3.429385,0.502697,AUT,560527.558730,0.022636,0.039116,0.039152,0.070207,0.001627,neutron,pi+,solid
536,11.0,0.422279,0.412082,0.322910,3.591323,0.503195,AUT,270703.556146,0.047049,0.068264,0.068319,0.070207,0.001729,neutron,pi+,solid
537,11.0,0.276374,0.613861,0.325470,3.484987,0.673362,AUT,589218.966863,0.017210,0.017234,0.017341,0.070207,0.001458,neutron,pi+,solid
538,11.0,0.364746,0.468788,0.326807,3.516638,0.662088,AUT,174875.528255,0.052827,0.042887,0.044029,0.070207,0.001615,neutron,pi+,solid
539,11.0,0.254163,0.619689,0.373687,3.247509,0.119534,AUT,850501.220129,0.013036,0.012956,0.013012,0.070207,0.001433,neutron,pi+,solid
540,11.0,0.279355,0.591756,0.373817,3.411632,0.113980,AUT,830764.140414,0.013514,0.013482,0.013493,0.070207,0.001479,neutron,pi+,solid
541,11.0,0.297941,0.557952,0.373980,3.430117,0.106599,AUT,787554.763091,0.014202,0.014169,0.014157,0.070207,0.001512,neutron,pi+,solid
542,11.0,0.317870,0.517340,0.374315,3.393164,0.099060,AUT,716510.906129,0.015253,0.015263,0.015234,0.070207,0.001547,neutron,pi+,solid
543,11.0,0.340487,0.485628,0.374390,3.412069,0.098969,AUT,691182.996987,0.015941,0.015983,0.015985,0.070207,0.001588,neutron,pi+,solid
